"Table S3: The table provides the IMPPAT Phytochemical identifier, Chemical name, SMILES, InChI and QEDw score for the 1335 drug-like phytochemicals in IMPPAT 2.0 identified in this study.",,,,
IMPPAT Phytochemical identifier,Chemical name,SMILES,InChI,QEDw
IMPHY010578,Isosakuranetin,COc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,"InChI=1S/C16H14O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-7,14,17-18H,8H2,1H3/t14-/m0/s1",0.8874
IMPHY012232,Sakuranetin,COc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(cc1)O,"InChI=1S/C16H14O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-7,14,17-18H,8H2,1H3/t14-/m0/s1",0.8874
IMPHY013911,Naringenin 5-methyl ether,COc1cc(O)cc2c1C(=O)CC(O2)c1ccc(cc1)O,"InChI=1S/C16H14O5/c1-20-14-6-11(18)7-15-16(14)12(19)8-13(21-15)9-2-4-10(17)5-3-9/h2-7,13,17-18H,8H2,1H3",0.8874
IMPHY007514,"5-Hydroxy-8-methoxy-6,7-methylenedioxyisoflavan-4-ol",COc1c2OCC(C(c2c(c2c1OCO2)O)O)c1ccccc1,"InChI=1S/C17H16O6/c1-20-16-14-11(13(19)15-17(16)23-8-22-15)12(18)10(7-21-14)9-5-3-2-4-6-9/h2-6,10,12,18-19H,7-8H2,1H3",0.8854
IMPHY012423,"2,5-Dihydroxy-7-methoxyflavanone",COc1cc2OC(O)(CC(=O)c2c(c1)O)c1ccccc1,"InChI=1S/C16H14O5/c1-20-11-7-12(17)15-13(18)9-16(19,21-14(15)8-11)10-5-3-2-4-6-10/h2-8,17,19H,9H2,1H3",0.8849
IMPHY004897,Sesamolinol,COc1cc(ccc1O)O[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,"InChI=1S/C20H20O7/c1-22-17-7-12(3-4-15(17)21)27-20-14-9-23-19(13(14)8-24-20)11-2-5-16-18(6-11)26-10-25-16/h2-7,13-14,19-21H,8-10H2,1H3/t13-,14-,19+,20+/m0/s1",0.8844
IMPHY007624,"(2R,3R)-alpinone",COc1cc2O[C@H](c3ccccc3)[C@H](C(=O)c2c(c1)O)O,"InChI=1S/C16H14O5/c1-20-10-7-11(17)13-12(8-10)21-16(15(19)14(13)18)9-5-3-2-4-6-9/h2-8,15-17,19H,1H3/t15-,16+/m0/s1",0.8836
IMPHY007572,Ophiopogonanone A,O=C1C(COc2c1c(O)c(c(c2)O)C)Cc1ccc2c(c1)OCO2,"InChI=1S/C18H16O6/c1-9-12(19)6-15-16(17(9)20)18(21)11(7-22-15)4-10-2-3-13-14(5-10)24-8-23-13/h2-3,5-6,11,19-20H,4,7-8H2,1H3",0.8812
IMPHY000501,"(.+-.)-5,2'-Dihydroxy-6,7,6'-trimethoxyflavonone",COc1cc2OC(CC(=O)c2c(c1OC)O)c1c(O)cccc1OC,"InChI=1S/C18H18O7/c1-22-11-6-4-5-9(19)15(11)12-7-10(20)16-13(25-12)8-14(23-2)18(24-3)17(16)21/h4-6,8,12,19,21H,7H2,1-3H3",0.8788
IMPHY011399,"5,2'-Dihydroxy-7,8,6'-trimethoxyflavanone",COc1cccc(c1C1CC(=O)c2c(O1)c(OC)c(cc2O)OC)O,"InChI=1S/C18H18O7/c1-22-12-6-4-5-9(19)16(12)13-7-10(20)15-11(21)8-14(23-2)17(24-3)18(15)25-13/h4-6,8,13,19,21H,7H2,1-3H3",0.8788
IMPHY016908,"5,3'-Dihydroxy-6,7,4'-trimethoxyflavanone",COc1cc2OC(CC(=O)c2c(c1OC)O)c1ccc(c(c1)O)OC,"InChI=1S/C18H18O7/c1-22-12-5-4-9(6-10(12)19)13-7-11(20)16-14(25-13)8-15(23-2)18(24-3)17(16)21/h4-6,8,13,19,21H,7H2,1-3H3",0.8788
IMPHY016909,"5,3'-Dihydroxy-7,8,4'-trimethoxyflavanone",COc1c(OC)cc(c2c1OC(CC2=O)c1ccc(c(c1)O)OC)O,"InChI=1S/C18H18O7/c1-22-13-5-4-9(6-10(13)19)14-7-11(20)16-12(21)8-15(23-2)17(24-3)18(16)25-14/h4-6,8,14,19,21H,7H2,1-3H3",0.8788
IMPHY000656,Cornigerine,COc1c2-c3ccc(c(=O)cc3C(CCc2cc2c1OCO2)NC(=O)C)OC,"InChI=1S/C21H21NO6/c1-11(23)22-15-6-4-12-8-18-20(28-10-27-18)21(26-3)19(12)13-5-7-17(25-2)16(24)9-14(13)15/h5,7-9,15H,4,6,10H2,1-3H3,(H,22,23)",0.8773
IMPHY002735,3-Demethyldemecolcine,CN[C@H]1CCc2c(-c3c1cc(=O)c(cc3)OC)c(OC)c(c(c2)O)OC,"InChI=1S/C20H23NO5/c1-21-14-7-5-11-9-16(23)19(25-3)20(26-4)18(11)12-6-8-17(24-2)15(22)10-13(12)14/h6,8-10,14,21,23H,5,7H2,1-4H3/t14-/m0/s1",0.876
IMPHY011238,"(3R)-3-(1,3-benzodioxol-5-ylmethyl)-5,7-dihydroxy-6,8-dimethyl-2,3-dihydrochromen-4-one",O=C1[C@@H](COc2c1c(O)c(C)c(c2C)O)Cc1ccc2c(c1)OCO2,"InChI=1S/C19H18O6/c1-9-16(20)10(2)19-15(17(9)21)18(22)12(7-23-19)5-11-3-4-13-14(6-11)25-8-24-13/h3-4,6,12,20-21H,5,7-8H2,1-2H3/t12-/m1/s1",0.8728
IMPHY000769,Cicerin,COc1cc2OCOc2cc1C1COc2c(C1=O)c(O)cc(c2)O,"InChI=1S/C17H14O7/c1-21-12-5-14-13(23-7-24-14)4-9(12)10-6-22-15-3-8(18)2-11(19)16(15)17(10)20/h2-5,10,18-19H,6-7H2,1H3",0.8714
IMPHY012971,Sesaminol,Oc1cc2OCOc2cc1[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-14-5-18-17(26-9-27-18)4-11(14)20-13-7-22-19(12(13)6-23-20)10-1-2-15-16(3-10)25-8-24-15/h1-5,12-13,19-21H,6-9H2/t12-,13-,19+,20+/m0/s1",0.871
IMPHY014962,Justisolin,Oc1cc2OCOc2cc1C1OCC2C1COC2c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-14-5-18-17(26-9-27-18)4-11(14)20-13-7-22-19(12(13)6-23-20)10-1-2-15-16(3-10)25-8-24-15/h1-5,12-13,19-21H,6-9H2",0.871
IMPHY003597,Cinnamonol,OC1O[C@@H]([C@@H]2[C@H]1[C@@H](OC2)c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-20-17-12(18(27-20)10-1-3-13-15(5-10)25-8-23-13)7-22-19(17)11-2-4-14-16(6-11)26-9-24-14/h1-6,12,17-21H,7-9H2/t12-,17-,18+,19-,20?/m0/s1",0.8706
IMPHY003598,"(3S,3aalpha,6aalpha)-3alpha,6alpha-Bis(1,3-benzodioxole-5-yl)tetrahydro-1H,3H-furo[3,4-c]furan-1-ol",OC1O[C@@H]([C@@H]2[C@H]1[C@H](OC2)c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-20-17-12(18(27-20)10-1-3-13-15(5-10)25-8-23-13)7-22-19(17)11-2-4-14-16(6-11)26-9-24-14/h1-6,12,17-21H,7-9H2/t12-,17-,18+,19+,20?/m0/s1",0.8706
IMPHY001053,Aknadicine,COC1=C(OC)[C@]23[C@](CC1=O)(CCN2)c1c(CC3)ccc(c1O)OC,"InChI=1S/C19H23NO5/c1-23-13-5-4-11-6-7-19-17(25-3)16(24-2)12(21)10-18(19,8-9-20-19)14(11)15(13)22/h4-5,20,22H,6-10H2,1-3H3/t18-,19+/m0/s1",0.8698
IMPHY003137,Paulownin,O[C@]12CO[C@@H]([C@H]1CO[C@@H]2c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-20-8-23-18(11-1-3-14-16(5-11)26-9-24-14)13(20)7-22-19(20)12-2-4-15-17(6-12)27-10-25-15/h1-6,13,18-19,21H,7-10H2/t13-,18-,19-,20-/m1/s1",0.8695
IMPHY015035,(-)-Paulownin,O[C@@]12CO[C@H]([C@@H]1CO[C@H]2c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-20-8-23-18(11-1-3-14-16(5-11)26-9-24-14)13(20)7-22-19(20)12-2-4-15-17(6-12)27-10-25-15/h1-6,13,18-19,21H,7-10H2/t13-,18-,19-,20-/m0/s1",0.8695
IMPHY010758,Murranganon,COc1ccc2c(c1C(C(=O)C(C)C)O)oc(=O)cc2,"InChI=1S/C15H16O5/c1-8(2)13(17)14(18)12-10(19-3)6-4-9-5-7-11(16)20-15(9)12/h4-8,14,18H,1-3H3",0.8648
IMPHY007393,16-Oxoprometaphanine,COC1=CC[C@@]23[C@](C1=O)(C[C@@H](c1c3c(OC)c(cc1)OC)O)N(C)C(=O)C2,"InChI=1S/C20H23NO6/c1-21-15(23)10-19-8-7-14(26-3)18(24)20(19,21)9-12(22)11-5-6-13(25-2)17(27-4)16(11)19/h5-7,12,22H,8-10H2,1-4H3/t12-,19+,20+/m0/s1",0.864
IMPHY003432,Agamanone,COc1c(O)cc2c(c1O)C(=O)CC(O2)c1cc(OC)c2c(c1)OCO2,"InChI=1S/C18H16O8/c1-22-13-3-8(4-14-18(13)25-7-24-14)11-5-9(19)15-12(26-11)6-10(20)17(23-2)16(15)21/h3-4,6,11,20-21H,5,7H2,1-2H3",0.8607
IMPHY000145,(+)-Isofebrifugine,O=C(Cn1cnc2c(c1=O)cccc2)C[C@@H]1NCCC[C@@H]1O,"InChI=1S/C16H19N3O3/c20-11(8-14-15(21)6-3-7-17-14)9-19-10-18-13-5-2-1-4-12(13)16(19)22/h1-2,4-5,10,14-15,17,21H,3,6-9H2/t14-,15-/m0/s1",0.8573
IMPHY014832,Febrifugine,O=C(Cn1cnc2c(c1=O)cccc2)C[C@@H]1NCCC[C@H]1O,"InChI=1S/C16H19N3O3/c20-11(8-14-15(21)6-3-7-17-14)9-19-10-18-13-5-2-1-4-12(13)16(19)22/h1-2,4-5,10,14-15,17,21H,3,6-9H2/t14-,15+/m0/s1",0.8573
IMPHY014921,3-(3-(3-Hydroxypiperidin-2-yl)-2-oxopropyl)quinazolin-4(3H)-one,O=C(Cn1cnc2c(c1=O)cccc2)CC1NCCCC1O,"InChI=1S/C16H19N3O3/c20-11(8-14-15(21)6-3-7-17-14)9-19-10-18-13-5-2-1-4-12(13)16(19)22/h1-2,4-5,10,14-15,17,21H,3,6-9H2",0.8573
IMPHY012973,cis-Febrifugine,O=c1n(cnc2c1cccc2)C[C@@]1(O)C[C@@H]2[C@H](O1)CCCN2,"InChI=1S/C16H19N3O3/c20-15-11-4-1-2-5-12(11)18-10-19(15)9-16(21)8-13-14(22-16)6-3-7-17-13/h1-2,4-5,10,13-14,17,21H,3,6-9H2/t13-,14-,16-/m1/s1",0.8505
IMPHY014947,Isofebrifugine,O=c1n(cnc2c1cccc2)CC1(O)C[C@H]2[C@@H](O1)CCCN2,"InChI=1S/C16H19N3O3/c20-15-11-4-1-2-5-12(11)18-10-19(15)9-16(21)8-13-14(22-16)6-3-7-17-13/h1-2,4-5,10,13-14,17,21H,3,6-9H2/t13-,14-,16?/m0/s1",0.8505
IMPHY001907,Yenhusomidine,COc1cc2c(cc1OC)CCN([C@]12C(=O)c2c([C@@H]1O)c1OCOc1cc2)C,"InChI=1S/C21H21NO6/c1-22-7-6-11-8-15(25-2)16(26-3)9-13(11)21(22)19(23)12-4-5-14-18(28-10-27-14)17(12)20(21)24/h4-5,8-9,20,24H,6-7,10H2,1-3H3/t20-,21+/m0/s1",0.8504
IMPHY001349,Agrimonolide,COc1ccc(cc1)CC[C@@H]1OC(=O)c2c(C1)cc(cc2O)O,"InChI=1S/C18H18O5/c1-22-14-5-2-11(3-6-14)4-7-15-9-12-8-13(19)10-16(20)17(12)18(21)23-15/h2-3,5-6,8,10,15,19-20H,4,7,9H2,1H3/t15-/m0/s1",0.8488
IMPHY007910,Didymocarpin A,COc1c(O)c2OC(CC(=O)c2c(c1OC)O)c1ccccc1,"InChI=1S/C17H16O6/c1-21-16-13(19)12-10(18)8-11(9-6-4-3-5-7-9)23-15(12)14(20)17(16)22-2/h3-7,11,19-20H,8H2,1-2H3",0.847
IMPHY017255,2-((Isobutoxycarbonyl)amino)benzoic acid,CC(COC(=O)Nc1ccccc1C(=O)O)C,"InChI=1S/C12H15NO4/c1-8(2)7-17-12(16)13-10-6-4-3-5-9(10)11(14)15/h3-6,8H,7H2,1-2H3,(H,13,16)(H,14,15)",0.8434
IMPHY014484,Ventiloquinone A,COc1c2C(=O)C3=C(C(=O)c2c(c2c1OCO2)O)C[C@@H](O[C@@H]3C)C,"InChI=1S/C17H16O7/c1-6-4-8-9(7(2)24-6)13(19)11-10(12(8)18)14(20)16-17(15(11)21-3)23-5-22-16/h6-7,20H,4-5H2,1-3H3/t6-,7+/m0/s1",0.8407
IMPHY012646,"11,17-Dimethoxy-6,8,12-trioxa-22-azapentacyclo[11.9.0.02,10.05,9.014,19]docosa-2(10),3,5(9),14,16,18-hexaen-16-ol",COC1OC2c3cc(O)c(cc3CCNC2c2c1c1OCOc1cc2)OC,"InChI=1S/C20H21NO6/c1-23-15-7-10-5-6-21-17-11-3-4-14-19(26-9-25-14)16(11)20(24-2)27-18(17)12(10)8-13(15)22/h3-4,7-8,17-18,20-22H,5-6,9H2,1-2H3",0.8403
IMPHY003100,3-Desmethylcolchicine,COc1ccc2-c3c(CC[C@@H](c2cc1=O)NC(=O)C)cc(c(c3OC)OC)O,"InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-17(25)20(27-3)21(28-4)19(12)13-6-8-18(26-2)16(24)10-14(13)15/h6,8-10,15,25H,5,7H2,1-4H3,(H,22,23)/t15-/m0/s1",0.8402
IMPHY003176,2-Demethylcolchicine,COc1ccc2-c3c(CC[C@@H](c2cc1=O)NC(=O)C)cc(c(c3OC)O)OC,"InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(27-3)20(25)21(28-4)19(12)13-6-8-17(26-2)16(24)10-14(13)15/h6,8-10,15,25H,5,7H2,1-4H3,(H,22,23)/t15-/m0/s1",0.8402
IMPHY005290,1-Demethylcolchicine,COc1c(OC)cc2c(-c3ccc(c(=O)cc3[C@H](CC2)NC(=O)C)OC)c1O,"InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(27-3)21(28-4)20(25)19(12)13-6-8-17(26-2)16(24)10-14(13)15/h6,8-10,15,25H,5,7H2,1-4H3,(H,22,23)/t15-/m0/s1",0.8402
IMPHY005681,Colchiceine,COc1c(OC)cc2c(-c3ccc(c(=O)cc3[C@H](CC2)NC(=O)C)O)c1OC,"InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(26-2)20(27-3)21(28-4)19(12)13-6-8-16(24)17(25)10-14(13)15/h6,8-10,15H,5,7H2,1-4H3,(H,22,23)(H,24,25)/t15-/m0/s1",0.8402
IMPHY005258,Colchiceinamid,COc1c(OC)cc2c(-c3ccc(c(=O)cc3[C@H](CC2)NC(=O)C)N)c1OC,"InChI=1S/C21H24N2O5/c1-11(24)23-16-8-5-12-9-18(26-2)20(27-3)21(28-4)19(12)13-6-7-15(22)17(25)10-14(13)16/h6-7,9-10,16H,5,8H2,1-4H3,(H2,22,25)(H,23,24)/t16-/m0/s1",0.8399
IMPHY001104,cylindol A,COC(=O)c1ccc(c(c1)Oc1cc(ccc1O)C(=O)OC)O,"InChI=1S/C16H14O7/c1-21-15(19)9-3-5-11(17)13(7-9)23-14-8-10(16(20)22-2)4-6-12(14)18/h3-8,17-18H,1-2H3",0.8347
IMPHY001759,Cylindol B,COC(=O)c1cc(ccc1O)Oc1ccc(c(c1)C(=O)OC)O,"InChI=1S/C16H14O7/c1-21-15(19)11-7-9(3-5-13(11)17)23-10-4-6-14(18)12(8-10)16(20)22-2/h3-8,17-18H,1-2H3",0.8347
IMPHY006294,"2H-1-Benzopyran-6-carboxaldehyde, 3,4-dihydro-5,7-dihydroxy-8-methyl-4-oxo-2-phenyl-",O=Cc1c(O)c(C)c2c(c1O)C(=O)CC(O2)c1ccccc1,"InChI=1S/C17H14O5/c1-9-15(20)11(8-18)16(21)14-12(19)7-13(22-17(9)14)10-5-3-2-4-6-10/h2-6,8,13,20-21H,7H2,1H3",0.8328
IMPHY006343,Colchicine,COc1c(OC)cc2c(-c3ccc(c(=O)cc3[C@H](CC2)NC(=O)C)OC)c1OC,"InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1",0.8325
IMPHY009138,Yerrinquinone,COC1=CC(=O)c2c(C1=O)c(O)cc(c2OC)C(=O)OC,"InChI=1S/C14H12O7/c1-19-9-5-8(16)11-10(12(9)17)7(15)4-6(13(11)20-2)14(18)21-3/h4-5,15H,1-3H3",0.8325
IMPHY011147,Styraxin,COc1cc(ccc1O)[C@@H]1OC[C@@H]2[C@H]1C(=O)O[C@H]2c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c1-23-15-6-11(2-4-13(15)21)19-17-12(8-24-19)18(27-20(17)22)10-3-5-14-16(7-10)26-9-25-14/h2-7,12,17-19,21H,8-9H2,1H3/t12-,17-,18+,19+/m1/s1",0.8319
IMPHY004980,"2,3-Dihydro-4-hydroxy-2-(1-hydroxy-1-methylethyl)-7-methyl-5H-furo(3,2-g)(1)benzopyran-5-one",Cc1cc(=O)c2c(o1)cc1c(c2O)CC(O1)C(O)(C)C,"InChI=1S/C15H16O5/c1-7-4-9(16)13-11(19-7)6-10-8(14(13)17)5-12(20-10)15(2,3)18/h4,6,12,17-18H,5H2,1-3H3",0.831
IMPHY010864,Trifolian,COc1c(O)cc2c(c1O)C1Oc3c(C1CO2)cc1c(c3)OCO1,"InChI=1S/C17H14O7/c1-20-17-9(18)3-13-14(15(17)19)16-8(5-21-13)7-2-11-12(23-6-22-11)4-10(7)24-16/h2-4,8,16,18-19H,5-6H2,1H3",0.8303
IMPHY002829,Phyllodulcin,COc1ccc(cc1O)[C@@H]1OC(=O)c2c(C1)cccc2O,"InChI=1S/C16H14O5/c1-20-13-6-5-9(7-12(13)18)14-8-10-3-2-4-11(17)15(10)16(19)21-14/h2-7,14,17-18H,8H2,1H3/t14-/m1/s1",0.8297
IMPHY012465,Obtucarbamate A,COC(=O)Nc1ccc(c(c1)NC(=O)OC)C,"InChI=1S/C11H14N2O4/c1-7-4-5-8(12-10(14)16-2)6-9(7)13-11(15)17-3/h4-6H,1-3H3,(H,12,14)(H,13,15)",0.8287
IMPHY013040,Obtucarbamate B,COC(=O)Nc1cccc(c1C)NC(=O)OC,"InChI=1S/C11H14N2O4/c1-7-8(12-10(14)16-2)5-4-6-9(7)13-11(15)17-3/h4-6H,1-3H3,(H,12,14)(H,13,15)",0.8287
IMPHY006227,Casegravol,OCC(/C=C/c1c(OC)ccc2c1oc(=O)cc2)(O)C,"InChI=1S/C15H16O5/c1-15(18,9-16)8-7-11-12(19-2)5-3-10-4-6-13(17)20-14(10)11/h3-8,16,18H,9H2,1-2H3/b8-7+",0.8283
IMPHY007231,"8-[(2S)-2,3-dihydroxy-3-methylbutyl]-7-methoxychromen-2-one",COc1ccc2c(c1C[C@@H](C(O)(C)C)O)oc(=O)cc2,"InChI=1S/C15H18O5/c1-15(2,18)12(16)8-10-11(19-3)6-4-9-5-7-13(17)20-14(9)10/h4-7,12,16,18H,8H2,1-3H3/t12-/m0/s1",0.828
IMPHY000144,(+)-Episesaminone,OC[C@@H]1[C@H](OC[C@@H]1C(=O)c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,"InChI=1S/C20H18O7/c21-7-13-14(19(22)11-1-3-15-17(5-11)26-9-24-15)8-23-20(13)12-2-4-16-18(6-12)27-10-25-16/h1-6,13-14,20-21H,7-10H2/t13-,14-,20+/m0/s1",0.8272
IMPHY013873,3-O-Acetylpinobanksin,CC(=O)O[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1ccccc1,"InChI=1S/C17H14O6/c1-9(18)22-17-15(21)14-12(20)7-11(19)8-13(14)23-16(17)10-5-3-2-4-6-10/h2-8,16-17,19-20H,1H3/t16-,17+/m1/s1",0.8265
IMPHY001459,3-Acetyl-7-O-methylaromadendrin,COc1cc2O[C@H](c3ccc(cc3)O)[C@H](C(=O)c2c(c1)O)OC(=O)C,"InChI=1S/C18H16O7/c1-9(19)24-18-16(22)15-13(21)7-12(23-2)8-14(15)25-17(18)10-3-5-11(20)6-4-10/h3-8,17-18,20-21H,1-2H3/t17-,18+/m1/s1",0.824
IMPHY006056,(-)-alpha-Conidendrin,COc1cc2C[C@H]3C(=O)OC[C@H]3[C@@H](c2cc1O)c1ccc(c(c1)OC)O,"InChI=1S/C20H20O6/c1-24-17-6-10(3-4-15(17)21)19-12-8-16(22)18(25-2)7-11(12)5-13-14(19)9-26-20(13)23/h3-4,6-8,13-14,19,21-22H,5,9H2,1-2H3/t13-,14-,19-/m1/s1",0.8225
IMPHY014209,Virgatol,COc1cc2ccc(=O)oc2cc1OCC(C(OC)(C)C)O,"InChI=1S/C16H20O6/c1-16(2,20-4)14(17)9-21-13-8-11-10(7-12(13)19-3)5-6-15(18)22-11/h5-8,14,17H,9H2,1-4H3",0.822
IMPHY014004,"Alkaloid C, from Gelsemium sempervirens",CCC1NC2C3C1C(O)C(C1(C2)c2ccc(cc2N(C1=O)OC)OC)OC3,"InChI=1S/C20H26N2O5/c1-4-13-16-11-9-27-18(17(16)23)20(8-14(11)21-13)12-6-5-10(25-2)7-15(12)22(26-3)19(20)24/h5-7,11,13-14,16-18,21,23H,4,8-9H2,1-3H3",0.8214
